Nível 1 - Inglês|Nível 1 - Português|Nível 2 - Inglês|Nível 2 - Português|Nível 3 - Inglês|Nível 3 - Português
||||British Empire. Commonwealth of Nations. The Commonwealth|Império Britânico. Comunidade das Nações. A comunidade
||||England|Inglaterra
||||Ireland|Irlanda
||||Scotland|Escócia
||||Wales|País de Gales
||History of Greece|História da Grécia||
||||Ancient Greece|Grécia Antiga
||||Local history and description|História local e descrição
||||Medieval Greece. Byzantine Empire, 323-1453|Grécia Medieval. Império Bizantino, 323-1453
||||Modern Greece|Grécia Moderna
||History of Italy|História da Itália||
||||Ancient Italy. Rome to 476|Itália Antiga. Roma para 476
||||Central Italy|Itália Central
||||Malta. Maltese Islands|Malta. Ilhas Maltesas
||||Medieval and modern Italy, 476­|Itália Medieval e Moderna, 476
||||Northern Italy|Norte da Itália
||||Other cities (non-metropolitan), provinces, etc., A-Z|Outras cidades (não metropolitanas), províncias, etc., A-Z
||||Southern Italy|Sul da Itália
||History of Latin America. Spanish America|História da América Latina. América espanhola||
||||Caribbean area. Caribbean Sea|Área do Caribe. Mar do Caribe
||||Central America|América Central
||||Latin America (General)|América Latina (Geral)
||||Mexico|México
||||South America|América do Sul
||||West Indies|Índias Ocidentais
||History of Low Countries - Benelux Countries|História dos Países Baixos - Países Benelux||
||||Antiquities. Social life and customs. Ethnography|Antiguidades. Vida social e costumes. Etnografia
||||Belgium|Bélgica
||||Description and travel|Descrição e viagem
||||General|Geral
||||History|História
||||Luxembourg|Luxemburgo
||History of Netherlands (Holland)|História da Holanda (Holanda)||
||||Antiquities. Social life and customs. Ethnography|Antiguidades. Vida social e costumes. Etnografia
||||Description and travel|Descrição e viagem
||||General|Geral
||||History|História
||||Local history and description|História local e descrição
||History of Northern Europe. Scandinavia|História do Norte da Europa. Escandinávia||
||||Antiquities. Social life and customs. Ethnography|Antiguidades. Vida social e costumes. Etnografia
||||Denmark|Dinamarca
||||Description and travel|Descrição e viagem
||||Finland|Finlândia
||||General|Geral
||||History|História
||||Iceland|Islândia
||||Norway|Noruega
||||Sweden|Suécia
||History of Oceania (South Seas)|História da Oceania (Mares do Sul)||
||||Australia|Austrália
||||History|História
||||Melanesia (General)|Melanésia (Geral)
||||Micronesia (General)|Micronésia (Geral)
||||New Zealand|Nova Zelândia
||||Polynesia (General)|Polinésia (Geral)
||||Smaller island groups|Grupos de ilhas menores
||History of Poland|História da Polônia||
||||Ethnography|Etnografia
||||History|História
||||Local history and description|História local e descrição
||History of Portugal|História de Portugal||
||||Antiquities. Social life and customs. Ethnography|Antiguidades. Vida social e costumes. Etnografia
||||Description and travel|Descrição e viagem
||||General|Geral
||||History|História
||||Local history and description|História local e descrição
||History of Romanies|História dos Romanis||
||History of Russia. Soviet Union. Former Soviet Republics|História da Rússia. União Soviética. Ex-repúblicas soviéticas||
||||Ethnography|Etnografia
||||History|História
||||Local history and description|História local e descrição
||||Regions not limited to one Republic, A-Z|Regiões não limitadas a uma República, A-Z
||History of Spain|História da Espanha||
||||Antiquities. Social life and customs. Ethnography|Antiguidades. Vida social e costumes. Etnografia
||||Description and travel|Descrição e viagem
||||General|Geral
||||History|História
||||Local history and description|História local e descrição
||History of Switzerland|História da Suiça||
||||Antiquities. Social life and customs. Ethnography|Antiguidades. Vida social e costumes. Etnografia
||||Description and travel|Descrição e viagem
||||General|Geral
||||History|História
||||Local history and description|História local e descrição
||History of the Greco-Roman World|História do Mundo Greco-Romano||
||||Antiquities. Civilization. Culture. Ethnography|Antiguidades. Civilização. Cultura. Etnografia
||||General|Geral
||||Geography|Geografia
||||History|História
||History of United States|História dos Estados Unidos ||
||||Civil War period, 1861-1865|Período da Guerra Civil, 1861-1865
||||Colonial history (1607-1775)|História colonial (1607-1775)
||||Diplomatic history. Foreign and general relations.|História diplomática. Relações exteriores e gerais.
||||Elements in the population|Elementos da população
||||General|Geral
||||History|História
||||Late nineteenth century, 1865-1900|Final do século XIX, 1865-1900
||||Later twentieth century, 1961-2000|Final do século XX, 1961-2000
||||Revolution to the Civil War, 1775/1783-1861|Revolução para a Guerra Civil, 1775 / 1783-1861
||||The Revolution, 1775-1783|A Revolução, 1775-1783
||||Twentieth century|Século XX
||||Twenty-first century|Século XXI
||||United States local history|História local dos Estados Unidos
Language and Literature|Linguagem e Literatura||||
||Afrikaans literature|Literatura africâner||
||||Collections|Coleções
||||Folk literature|Literatura popular
||||Individual authors or works|Autores ou obras individuais
||||Literary history and criticism|História literária e crítica
||||Local|Local
||American literature|Literatura americana||
||||Biography, memoirs, letters, etc.|Biografia, memórias, cartas, etc.
||||Collections of American literature|Coleções de literatura Americana
||||Diaries|Diários
||||Drama|Drama
||||Essays|Ensaios
||||Folk literature|Literatura popular
||||Individual authors|Autores individuais
||||Juvenile literature (General)|Literatura juvenil (Geral)
||||Letters|Cartas
||||Oratory|Oratório
||||Poetry|Poesia
||||Prose|Prosa
||||Special regions, states, etc.|Regiões especiais, estados, etc.
||||Treatment of special subjects, classes|Tratamento de disciplinas especiais, classes
||||Wit and humor. Satire|Inteligência e humor. Sátira
||||Women authors|Autoras mulheres
||Byzantine and modern Greek literature|Literatura bizantina e grega moderna||
||||Individual authors|Autores individuais
||Canadian literature|Literatura canadense||
||Classical literature|Literatura clássica||
||Classical philology|Filologia clássica||
||Danish literature|Literatura dinamarquesa||
||||Collections|Coleções
||||Folk literature|Literatura popular
||||Individual authors or works|Autores ou obras individuais
||||Juvenile literature (General)|Literatura juvenil (Geral)
||||Literary history and criticism|História literária e crítica
||||Provincial, local, foreign|Provincial, local, estrangeiro
||Dutch literature|Literatura holandesa||
||||Collections|Coleções
||||Folk literature|Literatura popular
||||Individual authors or works|Autores ou obras individuais
||||Juvenile literature (General)|Literatura juvenil (Geral)
||||Literary history and criticism|História literária e crítica
||||Provincial, local, foreign|Provincial, local, estrangeiro
||English language|língua inglesa||
||||Anglo-Saxon. Old English|Anglo-Saxão. Inglês Antigo
||||Dialects. Provincialisms, etc.|Dialetos. Provincialismos, etc.
||||Early Modern English|Inglês Moderno Inicial
||||Middle English|Inglês Arcaico
||||Modern English|Inglês Moderno
||||Slang. Argot, etc.|Gíria. Jargão, etc.
||English literature|Literatura inglesa||
||||17th and 18th centuries (1640-1770)|Séculos XVII e XVIII (1640-1770)
||||1900-1960|1900-1960
||||1961-2000|1961-2000
||||19th century, 1770/1800-1890/1900|Século XIX, 1770 / 1800-1890 / 1900
||||2001-|2001-
||||Anglo-Norman period. Early English. Middle|Período Anglo-Normando. Inglês Antigo. Meio
||||Anglo-Saxon literature|Literatura Anglo-Saxônica
||||Collections of English literature|Coleções de literatura Inglesa
||||Criticism|Crítica
||||Diaries|Diários
||||Drama|Drama
||||English literature: Provincial, local, etc.|Literatura Inglesa: provincial, local, etc.
||||English renaissance (1500-1640)|Renascimento inglês (1500-1640)
||||Essays|Ensaios
||||Folk literature|Literatura popular
||||Letters|Cartas
||||Literary history and criticism|História literária e crítica
||||Oratory|Oratório
||||Poetry|Poesia
||||Prose|Prosa
||||Relations to other literatures and countries|Relações com outras literaturas e países
||||Wit and humor|Inteligência e humor
||||Women authors|Autoras mulheres
||Faroese literature|||
||||Collections|Coleções
||||Individual authors or works|Autores ou obras individuais
||||Literary history and criticism|História literária e crítica
||||Local|Local
||Flemish literature since 1830|Literatura flamenga desde 1830||
||||Collections|Coleções
||||Folk literature|Literatura popular
||||Individual authors or works|Autores ou obras individuais
||||Juvenile literature (General)|Literatura juvenil (Geral)
||||Literary history and criticism|História literária e crítica
||French literature |Literatura francesa||
||||Collections|Coleções
||||Folk literature|Literatura popular
||||History and criticism|História e crítica
||||Juvenile literature|Literatura juvenil
||||Modern literature|Literatura moderna
||||Old French literature|Literatura Francesa Antiga
||||Provincial, local, colonial, etc.|Provincial, local, colonial, etc.
||German literature|Literatura alemã||
||||Collections|Coleções
||||Folk literature|Literatura popular
||||History of German literature|História da literatura Alemã
||||Individual authors or works|Autores ou obras individuais
||||Literary history and criticism|História literária e crítica
||||Low German literature|Literatura do Baixo-Alemão
||||Provincial, local, colonial, etc.|Provincial, local, colonial, etc.
||Germanic languages. Scandinavian languages|Línguas germânicas. Línguas escandinavas||
||||General|Geral
||||North Germanic. Scandinavian|Germânicas Setentrionais. Escandinavo
||||Old Germanic dialects|Antigos dialetos Germânicos
||Greek literature|Literatura grega||
||||Collections|Coleções
||||Criticism, interpretation, etc.|Crítica, interpretação, etc.
||||Individual authors|Autores individuais
||||Literary history|História literária
||||Translations|Traduções
||Greek philology and language|Filologia e língua gregas||
||Hyperborean, Indian, and artificial languages|Linguagens hiperbóreas, indianas e artificiais||
||||American languages (Aboriginal)|Línguas americanas (Aborígine)
||||Artificial languages--Universal languages|Linguagens artificiais - linguagens universais
||||Hperborean languages of Arctic Asia and America|Línguas Hperboreanas do Ártico Asiático e América
||||Languages of Mexico and Central America|Línguas do México e América Central
||||Languages of South America and the West Indies|Línguas da América do Sul e Índias Ocidentais
||||Mixed languages|Línguas misturadas
||||Picture languages|Linguagens de imagens
||||Secret languages|Linguagens secretas
||Indo-Iranian philology and literature|Filologia e literatura indo-iraniana||
||||Armenian|Armênio
||||Caucasian languages|Línguas caucasianas
||||Dardic (Pisacha)|Dardic (Pisacha)
||||General|Geral
||||Indo-Aryan languages|Línguas Indo-arianos
||||Indo-Aryan literature|Literatura Indo-arianos
||||Iranian philology and literature|Filologia e literatura Iraniana
||Italian literature |Literatura italiana||
||||Collections|Coleções
||||History and criticism|História e crítica
||||Individual authors and works to 1400|Autores individuais e obras até 1400
||||Individual authors, 1400-1700|Autores individuais, 1400-1700
||||Individual authors, 1701-1900|Autores individuais, 1701-1900
||||Individual authors, 1900-1960|Autores individuais, 1900-1960
||||Individual authors, 1961-2000|Autores individuais, 1961-2000
||||Individual authors, 2001-|Autores individuais, 2001-
||Languages and literature of Eastern Asia, Africa, Oceania|Línguas e literatura da Ásia Oriental, África, Oceania||
||||African languages and literature|Línguas e literatura africanas
||||Austroasiatic languages|Línguas austro-asiáticas
||||Chinese language and literature|Língua e literatura chinesa
||||Dravidian languages|Línguas dravidianas
||||Far Eastern languages and literature|Línguas e literatura do Extremo Oriente
||||Japanese language and literature|Língua e literatura japonesas
||||Karen languages|Línguas karen
||||Korean language and literature|Língua e literatura coreana
||||Languages of Oceania|Línguas da Oceania
||||Languages of the Montagnards|Línguas dos Montagnards
||||Malaysian literature|Literatura da Malásia
||||Miao-Yao languages|Línguas Miao-Yao
||||Non-Aryan languages of India and Southeastern Asia in|Línguas não arianas da Índia e sudeste da Ásia
||||Non-Chinese languages of China|Idiomas não chineses da China
||||Singapore literature|Literatura de Singapura
||||Sino-Tibetan languages|Línguas Sino-Tibetanas
||||Ural-Altaic languages|Línguas Ural-Altaicas
||Latin philology and language|Filologia latina e linguagem||
||Literature (General)|Literatura (Geral)||
||||Authorship|Autoria
||||Collections of general literature|Coleções de literatura geral
||||Criticism|Crítica
||||Diaries|Diários
||||Drama|Drama
||||Essays (Literary history)|Ensaios (história literária)
||||Journalism. The periodical press, etc.|Jornalismo. A imprensa periódica, etc.
||||Letters (Literary history)|Cartas (história literária)
||||Literary history|História literária
||||Oratory. Elocution, etc.|Oratório. Elocução, etc.
||||Periodicals|Periódicos
||||Poetry|Poesia
||||Prose. Prose fiction|Prosa. Prosa ficcional
||||Societies|Sociedades
||||Study and teaching|Estudo e ensino
||||The dialogue|O diálogo
||||The monologue|O monologo
||||The performing arts. Show business|As artes cênicas. Mundo do espetáculo
||||Theory. Philosophy. Esthetics|Teoria. Filosofia. Estética
||Medieval and modern Greek language|Língua grega medieval e moderna||
||Medieval and modern Latin literature|Literatura latina medieval e moderna||
||||Individual authors|Autores individuais
||Modern Icelandic literature|Literatura islandesa moderna||
||||Collections|Coleções
||||Folk literature|Literatura popular
||||Individual authors or works|Autores ou obras individuais
||||Juvenile literature (General)|Literatura juvenil (Geral)
||||Literary history and criticism|História literária e crítica
||||Provincial, local, foreign|Provincial, local, estrangeiro
||Modern languages. Celtic languages|Linguagens modernas. Línguas celtas||
||||Celtic languages and literature|Línguas e literatura celtas
||||Modern languages|Linguagens modernas
||Norwegian literature|Literatura norueguesa||
||||Collections|Coleções
||||Individual authors or works|Autores ou obras individuais
||||Juvenile literature (General)|Literatura juvenil (Geral)
||||Landsmaal or New Norwegian|Landsmaal ou New Norwegian
||||Literary history and criticism|História literária e crítica
||||Literary history and criticism|História literária e crítica
||||Provincial, local, foreign|Provincial, local, estrangeiro
||Old Norse literature: Old Icelandic and Old Norwegian|Literatura nórdica antiga: islandês antigo e norueguês antigo||
||||Collections|Coleções
||||Individual authors or works before 1540|Autores individuais ou trabalhos anteriores a 1540
||||Individual sagas and historical works|Sagas individuais e obras históricas
||||Literary history and criticism|História literária e crítica
||||Religious works|Obras religiosas
||||Scientific and learned literature|Literatura científica e erudita
||Oriental languages and literatures|Línguas e Literaturas orientais||
||||Afroasiatic languages|Línguas afro-asiáticas
||||Arabic|Árabe
||||Aramaic|Aramaico
||||Assyriology. Akkadian|Assiriologia. Império Acádio
||||Coptic|Coptos
||||Cushitic languages|Línguas cushíticas
||||Egyptology|egiptologia
||||Ethiopian languages|Línguas etíopes
||||General|Geral
||||Hebrew|Hebraico
||||Libyco-Berber languages. Berber languages|Línguas Líbico-Berberes. Línguas berberes
||||Semitic philology and literature|Filologia e literatura semítica
||||South Semitic languages|Línguas semíticas do Sul
||||Special groups|Grupos especiais
||||Sumerian|Sumério
||||Syriac|Siríaco
||||West and North Semitic languages|Línguas semíticas ocidentais e do Norte
||Philology. Linguistics|Filologia. Linguística||
||||Communication. Mass media|Comunicação. Mídia de massa
||||Computational linguistics. Natural language processing|Linguística computacional. Processamento de linguagem natural
||||Extinct ancient or medieval languages|Línguas antigas ou medievais extintas
||||General|Geral
||||Indo-European (Indo-Germanic) philology|Filologia Indo-Européia (Indo-Germânica)
||||Language. Linguistic theory. Comparative grammar|Língua. Teoria linguística. Gramática comparativa
||||Nonverbal communication|Comunicação não verbal
||||Semiotics. Signs and symbols|Semiótica. Sinais e símbolos
||Portuguese literature|Literatura portuguesa||
||||Collections|Coleções
||||History and criticism|História e crítica
||||Individual authors and works to 1500|Autores e obras individuais até 1500
||||Individual authors and works, 1500-1700|Autores e obras individuais, 1500-1700
||||Individual authors, 1701-1960|Autores individuais, 1701-1960
||||Individual authors, 1961-2000|Autores individuais, 1961-2000
||||Individual authors, 2001-|Autores individuais, 2001-
||||Provincial, local, colonial, etc.|Provincial, local, colonial, etc.
||Roman literature|Literatura romana||
||||Collections|Coleções
||||Criticism, interpretation, etc.|Crítica, interpretação, etc.
||||Individual authors|Autores individuais
||||Literary history|História literária
||||Translations|Traduções
||Romance|Romance|Catalan|Catalão
||||French|Francês
||||General|Geral
||||Italian|Italiano
||||Portuguese|Português
||||Raeto-Romance|Reto-Românicas
||||Romanian|Romena
||||Sardinian|Sardenho
||||Spanish|Espanhol
|||||
||Romanic languages|Línguas românicas||
||Scandinavian literature|Literatura escandinava||
||||General|Geral
||Slavic languages. Baltic languages. Albanian languages|Línguas eslavas. Línguas bálticas. Línguas albanesas||
||||Albanian|Albanês
||||Baltic|Báltico
||||Slavic|Eslavo
||Spanish literature |Literatura espanhola||
||||Collections|Coleções
||||History and criticism|História e crítica
||||Individual authors and works to 1700|Autores e obras individuais até 1700
||||Individual authors, 1700-ca. 1868|Autores individuais, 1700-ca. 1868
||||Individual authors, 1868-1960|Autores individuais, 1868-1960
||||Individual authors, 1961-2000|Autores individuais, 1961-2000
||||Individual authors, 2001-|Autores individuais, 2001-
||||Provincial, local, colonial, etc.|Provincial, local, colonial, etc.
||Swedish literature|Literatura sueca||
||||Collections|Coleções
||||Folk literature|Literatura popular
||||Individual authors or works|Autores ou obras individuais
||||Juvenile literature (General)|Literatura juvenil (Geral)
||||Literary history and criticism|História literária e crítica
||||Provincial, local, foreign|Provincial, local, estrangeiro
||Ural-Altaic languages|Línguas ural-altaicas||
||||Basque|Basco
||||Finnic. Baltic-Finnic|Fino. Fino-Báltica
||||Finnish|Finlandês
||||General|Geral
||||Hungarian|Húngaro
||||Other Finnic languages and dialects|Outras línguas e dialetos finlandeses
||||Samoyedic languages|Línguas samoiedas
||||Ugric languages|Línguas úgricas
||West Germanic languages|Línguas germânicas ocidentais||
||||Dutch|Holandês
||||Flemish|Flamengo
||||Friesian|Frisão
||||German|Alemão
Law|Direito||||
||America. North America|América. América do Norte||
||||Bermuda|Bermudas
||||Greenland|Groenlândia
||||Organization of American States (OAS)|Organização dos Estados Americanos (OEA)
||||St. Pierre and Miquelon|São Pedro e Miquelão
||Asia and Eurasia, Africa, Pacific Area, and Antarctica|Ásia e Eurásia, África, Área do Pacífico e Antártica||
||||Africa|África
||||Antarctica|Antártica
||||Asia|Ásia
||||Eurasia|Eurásia
||||History of law. The ancient orient|História do Direito. O antigo oriente
||||Pacific Area|Área do Pacífico
||Europe|Europa||
||||Albania|Albânia
||||Andorra|Andorra
||||Austria|Áustria
||||Belgium|Bélgica
||||Bulgaria|Bulgária
||||Cyprus|Chipre
||||Czechoslovakia|Checoslováquia
||||Denmark|Dinamarca
||||Estonia|Estônia
||||Finland|Finlândia
||||France|França
||||Germanic law|Lei germânica
||||Germany|Alemanha
||||Greece|Grécia
||||History of Law|História do Direito
||||Hungary|Hungria
||||Iceland|Islândia
||||Italy|Itália
||||Latvia|Letônia
||||Liechtenstein|Liechtenstein
||||Lithuania|Lituânia
||||Luxembourg|Luxemburgo
||||Malta|Malta
||||Monaco|Mônaco
||||Netherlands|Países Baixos
||||Norway|Noruega
||||Poland|Polônia
||||Portugal|Portugal
||||Regional comparative and uniform law|Direito regional comparativo e uniforme
||||Regional organization and integration. Comparative law|Organização e integração regional. Lei comparativa
||||Roman law|Lei Romana
||||Romania|Romênia
||||San Marino|San Marino
||||Spain|Espanha
||||Sweden|Suécia
||||Switzerland|Suíça
||||Turkey|Peru
||||Ukraine (1991- )|Ucrânia (1991-)
||||Yugoslavia|Iugoslávia
||Jewish law. Halakah |Lei judaica. Halakah||
||||Mishpat Ivri|Mishpat Ivri
||History of canon law|História do Direito Canônico||
||||Annuals. Annuaires. Yearbooks|Anuais. Annuaires. Anuários
||||Auxiliary sciences|Ciências auxiliares
||||Bibliography|Bibliografia
||||Canon law and other disciplines or subjects|Direito canônico e outras disciplinas ou assuntos
||||Canonical jurisprudence. Canonical science|Jurisprudência canônica. Ciência canônica
||||Church and state relationships. De relationibus interecclesiam et status. Ius publicum ecclesiae |Relações entre igreja e estado. Derelibus interecclesiam et status. Ius publicum ecclesiae
||||Church property. Church economics and finance.|Propriedade da Igreja. Economia e finanças da Igreja.
||||Collective biography of canonists or jurists|Biografia coletiva de canonistas ou juristas
||||Conferences. Symposia|Conferências. Simpósio
||||Constitution of the Church|Constituição da Igreja
||||Decisions of ecclesiastical tribunals and courts, and related materials |Decisões de tribunais e tribunais eclesiásticos e materiais relacionados
||||Directories|Diretórios
||||Encyclopedias. Law dictionaries. Terms and phrases. Vocabularia |Enciclopédias. Dicionários jurídicos. Termos e frases. Vocabulário
||||Formularies. Clauses and forms. Formularia|Formulários. Cláusulas e formulários. Formularia
||||General concepts and principles, A-Z|Conceitos e princípios gerais, A-Z
||||General works|Obras gerais
||||Influence of other legal systems on Canon law|Influência de outros sistemas jurídicos no direito canônico
||||Judiciary. Ecclesiastical courts and procedure. De processibus |Judiciário. Tribunais e procedimentos eclesiásticos. De processibus
||||Law reform and policies. Criticism|Reforma da lei e políticas. Crítica
||||Legal education. Study and teaching|Educação jurídica. Estudo e ensino
||||Legal research. Legal bibliography. Methods of bibliographic research|Pesquisa legal. Bibliografia jurídica. Métodos de pesquisa bibliográfica
||||Monographic series|Série monográfica
||||Official acts of the Holy See|Atos oficiais da Santa Sé
||||Other acts of divine worship. De ceteris actibus Cultus Divini|Outros atos de adoração divina. De ceteris actibus Cultus Divini
||||Penal (Criminal) law. De lege poenali|Direito Penal (Criminal). De lege poenali
||||Proverbia. Legal maxims. Brocardica juris. Regulae juris|Proverbia. Máximas legais. Brocardica juris. Regulae Juris
||||Sacramentals. Sacramentalia|Sacramentals. Sacramentalia
||||Sacraments. Administration of sacraments. De sacramentis et administratione|Sacramentos. Administração de sacramentos. De sacramentis et Administratione
||||Social work of the Church. Public welfare. Caritas|Trabalho social da Igreja. Bem-estar público. Cáritas
||||Societies. Associations. Academies, etc.|Sociedades. Associações. Academias, etc.
||||Sources|Fontes
||||The teaching office of the church. Magisterium. De ecclesiae munere docendi|O ofício de ensino da igreja. Magistério. De ecclesiae munere docendi
||||Trials|Ensaios
||Islamic law. Sharīah. Fiqh|Lei islâmica. Sharīah. Fiqh||
||Latin America (General)|América Latina (Geral)||
||Law in general. Comparative and uniform law. Jurisprudence|Direito em geral. Direito comparativo e uniforme. Jurisprudência||
||Law of Canada|Lei do Canadá||
||Law of nations|Lei das nações||
||Law of the Roman Catholic Church. The Holy See|Lei da Igreja Católica Romana. Santa Sé||
||Law of the sea|Lei do mar||
||Law of the United Kingdom and Ireland|Lei do Reino Unido e Irlanda||
||Law of the United States|Lei dos Estados Unidos||
||Mexico and Central America (General)|México e América Central (Geral)||
||Religious law in general. Comparative religious law. Jurisprudence|Direito religioso em geral. Lei religiosa comparada. Jurisprudência||
||South America (General)|América do Sul (Geral)||
||Space law. Law of outer space|Lei do espaço. Lei do espaço sideral||
||West Indies. Caribbean area|Índias Ocidentais. Área caribenha||
Medicine|Medicina||||
||Botanic, Thomsonian, and eclectic medicine|Medicina Botânica, Thomsoniana e eclética||
||Dentistry|Odontologia||
||||Operative dentistry. Restorative dentistry|Odontologia Operatória. Odontologia restauradora
||||Oral and dental anatomy and physiology|Anatomia e fisiologia oral e dentária
||||Oral and dental medicine. Pathology. Diseases|Medicina oral e dentária. Patologia. Doenças
||||Oral surgery|Cirurgia oral
||||Orthodontics|Ortodontia
||||Practice of dentistry. Dental economics|Prática de Odontologia. Economia dentária
||||Preventive dentistry|Odontologia preventiva
||||Prosthetic dentistry. Prosthodontics|Odontologia protética. Prótese Dentária
||Dermatology|Dermatologia||
||||Atrophies. Hypertrophies|Atrofias. Hipertrofias
||||Care and hygiene|Cuidado e higiene
||||Chronic ulcer of the skin. Bedsores|Úlcera crônica da pele. Escaras
||||Congenital disorders of the skin. Nevi. Moles|Desordens congênitas da pele. Nevi. Toupeiras
||||Diseases due to parasites|Doenças causadas por parasitas
||||Diseases due to psychosomatic and nerve disorders.|Doenças devido a distúrbios psicossomáticos e nervosos.
||||Diseases of the glands, hair, nails|Doenças das glândulas, cabelos, unhas
||||Hyperemias, inflammations, and infections of the skin|Hiperemias, inflamações e infecções da pele
||||Pathological anatomy|Anatomia patológica
||||Pigmentations. Albinism|Pigmentações. Albinismo
||||Therapeutics|Terapêutica
||Gynecology and obstetrics|Ginecologia e Obstetrícia||
||||Abnormalities and diseases of the female genital organs|Anormalidades e doenças dos órgãos genitais femininos
||||Conception. Artificial insemination. Contraception|Concepção. Inseminação artificial. Contracepção
||||Diseases of the breast|Doenças da mama
||||Functional and systemic disorders. Endocrine gynecology|Distúrbios funcionais e sistêmicos. Ginecologia endócrina
||||Obstetrics|Obstetrícia
||||Operative gynecology|Ginecologia operatória
||||Sterilization of women|Esterilização de mulheres
||||Urogynecology and obstetric urology. Urogynecologic surgery|Uroginecologia e urologia obstétrica. Cirurgia uroginecológica
||Homeopathy|Homeopatia||
||||Diseases, treatment, etc.|Doenças, tratamento, etc.
||||Materia medica and therapeutics|Materia Medica and Therapeutics
||Internal medicine|Medicina Interna||
||||Constitutional diseases (General)|Doenças constitucionais (geral)
||||Disease due to physical and chemical agents|Doença devido a agentes físicos e químicos
||||Examination. Diagnosis|Exame. Diagnóstico
||||Infectious and parasitic diseases|Doenças infecciosas e parasitárias
||||Medical emergencies. Critical care. Intensive care. First aid|Emergências médicas. Cuidados intensivos. Tratamento intensivo. Primeiros socorros
||||Neoplasms. Tumors. Oncology|Neoplasias. Tumores. Oncologia
||||Neurosciences. Biological psychiatry. Neuropsychiatry|Neurociências. Psiquiatria biológica. Neuropsiquiatria
||||Popular medicine|Remédio popular
||||Psychosomatic medicine|Medicina psicossomática
||||Special situations and conditions|Situações e condições especiais
||||Specialties of internal medicine|Especialidades de medicina interna
||||Tuberculosis|Tuberculose
||Medicine (General)|Medicina (Geral)||
||||Biomedical engineering. Electronics. Instrumentation|Engenharia Biomédica. Eletrônicos. Instrumentação
||||Computer applications to medicine. Medical informatics|Aplicações informáticas à medicina. Informática médica
||||Directories|Diretórios
||||General works|Obras gerais
||||History of medicine. Medical expeditions|História da medicina. Expedições médicas
||||Medical education. Medical schools. Research|Educação médica. Escolas médicas. Pesquisa
||||Medical personnel and the public. Physician and the public|Pessoal médico e o público. Médico e o público
||||Medical philosophy. Medical ethics|Filosofia médica. Ética Médica
||||Medical physics. Medical radiology. Nuclear medicine|Física médica. Radiologia médica. Medicina nuclear
||||Medical records|Registros médicos
||||Medical technology|Tecnologia médica
||||Medicine and disease in relation to psychology. Terminal care. Dying|Medicina e doença em relação à psicologia. Cuidado terminal. Morrendo
||||Medicine and the humanities. Medicine and disease in relation to history, literature, etc.|Medicina e humanidades. Medicina e doença em relação à história, literatura, etc.
||||Medicine as a profession. Physicians|Medicina como profissão. Médicos
||||Missionary medicine. Medical missionaries|Medicina missionária. Missionários médicos
||||Practice of medicine. Medical practice economics|Prática de medicina. Economia da prática médica
||Nursing|Enfermagem||
||||Specialties in nursing|Especialidades em enfermagem
||Ophthalmology|Oftalmologia||
||||Artificial eyes and other prostheses|Olhos artificiais e outras próteses
||||Color vision tests, charts, etc.|Testes de visão de cores, gráficos, etc.
||||Examination. Diagnosis|Exame. Diagnóstico
||||Eye banks|Bancos de olhos
||||Eye surgery|Cirurgia ocular
||||Ocular therapeutics|Terapêutica ocular
||||Ophthalmic nursing|Enfermagem oftálmica
||||Optometry. Opticians. Eyeglasses|Optometria. Ópticos. Óculos
||||Particular diseases of the eye|Doenças específicas do olho
||||Refraction and errors of refraction and accommodation|Refração e erros de refração e acomodação
||Other systems of medicine|Outros sistemas de Medicina||
||||Chiropractic|Quiropraxia
||||Mental healing|Cura mental
||||Miscellaneous systems and treatments|Sistemas e tratamentos diversos
||||Osteo-magnetics, neuropathy, etc., A-Z|Osteomagnético, neuropatia, etc., A-Z
||||Osteopathy|Osteopatia
||Otorhinolaryngology|Otorrinolaringologia||
||||Laryngology. Diseases of the throat|Laringologia. Doenças da garganta
||||Otology. Diseases of the ear|Otologia. Doenças do ouvido
||||Rhinology. Diseases of the nose, accessory sinuses, and nasopharynx|Rinologia. Doenças do nariz, seios da face e nasofaringe
||Pathology|Patologia||
||||Clinical pathology. Laboratory technique|Patologia clínica. Técnica de laboratório
||||General works|Obras gerais
||||Manifestations of disease|Manifestações de doença
||||Pathological anatomy and histology|Anatomia patológica e histologia
||||Post-mortem examination. Autopsies|Exame pós-morte. Autópsias
||||Theories of disease. Etiology. Pathogenesis|Teorias da doença. Etiologia. Patogênese
||Pediatrics|Pediatria||
||||Child health. Child health services|Saúde infantil. Serviços de saúde infantil
||||Diseases of children and adolescents|Doenças de crianças e adolescentes
||||Examination. Diagnosis|Exame. Diagnóstico
||||Genetic aspects|Aspectos genéticos
||||Hospital care|Cuidados hospitalares
||||Immunization of children (General)|Imunização de crianças (geral)
||||Infant and neonatal morbidity and mortality|Morbidade e mortalidade infantil e neonatal
||||Newborn infants Including physiology, care, treatment, diseases|Bebês recém-nascidos, incluindo fisiologia, cuidados, tratamento, doenças
||||Nursing of children. Pediatric nursing|Enfermagem de crianças. Enfermagem pediátrica
||||Nutrition and feeding of children and adolescents|Nutrição e alimentação de crianças e adolescentes
||||Physiology of children and adolescents|Fisiologia de crianças e adolescentes
||||Premature infants|Bebês prematuros
