notation;prefLabel
LC00474;Geografia
LC00475;Geografia
LC00476;Geografia
LC00477;Geografia
LC00478;Geografia
LC00479;Geografia
LC00480;Geografia
LC00481;Geografia
LC00482;Geografia
LC00483;Geografia
LC00484;Geografia
LC00485;Geografia
LC00486;Geografia
LC00487;Geografia
LC00488;Geografia
LC00489;Geografia
LC00490;Geografia
LC00491;Geografia
LC00492;Geografia
LC00493;Geografia
LC00494;Geografia
LC00495;Geografia
LC00496;Geografia
LC00497;Geografia
LC00498;Geografia
LC00499;Geografia
LC00500;Geografia
LC00501;Geografia
LC00502;Geografia
LC00503;Geografia
LC00504;Geografia
LC00505;Geografia
LC00506;História
LC00507;História - Recreação. Lazer
LC00508;História - História (Geral)
LC00509;História - História (Geral) - História antiga
LC00510;História - História (Geral) - Geral
LC00511;História - História (Geral) - História medieval e moderna
LC00512;História - História (Geral) - História medieval
LC00513;História - História (Geral) - História militar e naval
LC00514;História - História (Geral) - História moderna
LC00515;História - História (Geral) - História política e diplomática
LC00516;História - História da África
LC00517;História - História da África - Angola
LC00518;História - História da África - Botsuana. Bechuanalândia
LC00519;História - História da África - África Central Britânica. Federação da Rodésia e Niassalândia
LC00520;História - História da África - África Subsaariana Central
LC00521;História - História da África - Descrição e viagem
LC00522;História - História da África - África Oriental
LC00523;História - História da África - Egito
LC00524;História - História da África - Etnografia
LC00525;História - História da África - História
LC00526;História - História da África - Lesoto. Basutolândia
LC00527;História - História da África - Maghrib. Berbéria
LC00528;História - História da África - Malawi. Niassalândia
LC00529;História - História da África - Moçambique
LC00530;História - História da África - Namíbia. Sudoeste Africano
LC00531;História - História da África - África do Norte
LC00532;História - História da África - Noroeste da África
LC00533;História - História da África - África do Sul
LC00534;História - História da África - África Austral
LC00535;História - História da África - Sudão. Sudão Anglo-Egípcio
LC00536;História - História da África - Suazilândia
LC00537;História - História da África - África Ocidental. Costa Oeste
LC00538;História - História da África - Zâmbia. Rodésia do Norte
LC00539;História - História da África - Zimbábue. Rodésia do Sul
LC00540;História - História da América
LC00541;História - História da América - Relatos descritivos da América. Antes de 1810
LC00542;História - História da América - Descoberta da América e primeiras explorações
LC00543;História - História da América - Geral
LC00544;História - História da América - Índios da América do Norte
LC00545;História - História da América - América do Norte
LC00546;História - História da América - América Pré-Colombiana. Os índios
LC00547;História - História da Ásia
LC00548;História - História da Ásia - Afeganistão
LC00549;História - História da Ásia - Antiguidades
LC00550;História - História da Ásia - Países árabes
LC00551;História - História da Ásia - Península Arábica. Arábia Saudita
LC00552;História - História da Ásia - Armênia
LC00553;História - História da Ásia - Ásia Menor
LC00554;História - História da Ásia - Bangladesh. Paquistão Oriental
LC00555;História - História da Ásia - Butão
LC00556;História - História da Ásia - Ásia Central
LC00557;História - História da Ásia - China
LC00558;História - História da Ásia - Descrição e viagem
LC00559;História - História da Ásia - Ásia Oriental. Extremo Oriente
LC00560;História - História da Ásia - Etnografia
LC00561;História - História da Ásia - Goa. Português na Índia
LC00562;História - História da Ásia - História
LC00563;História - História da Ásia - Índia (Bharat)
LC00564;História - História da Ásia - Irã (Pérsia)
LC00565;História - História da Ásia - Iraque (Assíria
LC00566;História - História da Ásia - Israel (Palestina). Os Judeus
LC00567;História - História da Ásia - Japão
LC00568;História - História da Ásia - Jordânia. Transjordânia
LC00569;História - História da Ásia - Coréia
LC00570;História - História da Ásia - Líbano (Fenícia)
LC00571;História - História da Ásia - Oriente Médio. Ásia Ocidental. Antigo Oriente. Arábia Oriental. Próximo
LC00572;História - História da Ásia - Nepal
LC00573;História - História da Ásia - Paquistão
LC00574;História - História da Ásia - Sudeste Asiático
LC00575;História - História da Ásia - Sul Asiático. Região do Oceano Índico
LC00576;História - História da Ásia - Sri Lanka
LC00577;História - História da Ásia - Síria
LC00578;História - História da Ásia - O Mundo Islâmico
LC00579;História - História da Áustria. Liechtenstein. Hungria. Checoslováquia
LC00580;História - História da Áustria. Liechtenstein. Hungria. Checoslováquia - Áustria. Império Austro-Húngaro
LC00581;História - História da Áustria. Liechtenstein. Hungria. Checoslováquia - Checoslováquia
LC00582;História - História da Áustria. Liechtenstein. Hungria. Checoslováquia - Hungria
LC00583;História - História da Áustria. Liechtenstein. Hungria. Checoslováquia - Liechtenstein
LC00584;História - História da Península balcânica
LC00585;História - História da Península balcânica - Geral
LC00586;História - História da Península balcânica - Descrição e viagem
LC00587;História - História da Península balcânica - Antiguidades. Vida social e costumes. Etnografia
LC00588;História - História da Península balcânica - História. Guerra dos Balcãs
LC00589;História - História da Península balcânica - Trácia
LC00590;História - História da Península balcânica - Bulgária
LC00591;História - História da Península balcânica - Romênia
LC00592;História - História da Península balcânica - Peru
LC00593;História - História da Península balcânica - Albânia
LC00594;História - História da Península balcânica - Iugoslávia
LC00595;História - História da América Britânica
LC00596;História - História da América Britânica - Canadá
LC00597;História - História da América Britânica - Outro além de Canadá
LC00598;História - História da América Holandesa
LC00599;História - História da América Holandesa - Colônia no Brasil
LC00600;História - História da América Holandesa - Guiné Holandesa
LC00601;História - História da América Holandesa - Índias Ocidentais Holandesas
LC00602;História - História da América Holandesa - Nova Holanda para 1664
LC00603;História - História da América Holandesa - Nova Suécia (possessão holandesa
LC00604;História - História da Europa Central
LC00605;História - História da Europa Central - Geral
LC00606;História - História da Europa Central - História
LC00607;História - História da Europa Oriental
LC00608;História - História da Europa Oriental - Etnografia
LC00609;História - História da Europa Oriental - História
LC00610;História - História da Europa Oriental - História local e descrição
LC00611;História - História da França
LC00612;História - História da França - Andorra
LC00613;História - História da França - Antiguidades. Vida social e costumes. Etnografia
LC00614;História - História da França - Descrição e viagem
LC00615;História - História da França - Geral
LC00616;História - História da França - História
LC00617;História - História da França - História local e descrição
LC00618;História - História da França - Mônaco
LC00619;História - História da América Francesa
LC00620;História - História da América Francesa - Outra América Francesa
LC00621;História - História da América Francesa - São Pedro e Miquelão
LC00622;História - História da Alemanha
LC00623;História - História da Alemanha - Antiguidades. Vida social e costumes. Etnografia
LC00624;História - História da Alemanha - Descrição e viagem
LC00625;História - História da Alemanha - Alemanha Oriental
LC00626;História - História da Alemanha - Geral
LC00627;História - História da Alemanha - História
LC00628;História - História da Alemanha - História do mundo Greco-Romano
LC00629;História - História da Alemanha - História local e descrição
LC00630;História - História da Alemanha - Prússia
LC00631;História - História da Alemanha - Alemanha Ocidental
LC00632;História - História da Grã-Bretanha
LC00633;História - História da Grã-Bretanha - Império Britânico. Comunidade das Nações. A comunidade
LC00634;História - História da Grã-Bretanha - Inglaterra
LC00635;História - História da Grã-Bretanha - Irlanda
LC00636;História - História da Grã-Bretanha - Escócia
LC00637;História - História da Grã-Bretanha - País de Gales
LC00638;História - História da Grécia
LC00639;História - História da Grécia - Grécia Antiga
LC00640;História - História da Grécia - História local e descrição
LC00641;História - História da Grécia - Grécia Medieval. Império Bizantino
LC00642;História - História da Grécia - Grécia Moderna
LC00643;História - História da Itália
LC00644;História - História da Itália - Itália Antiga. Roma para 476
LC00645;História - História da Itália - Itália Central
LC00646;História - História da Itália - Malta. Ilhas Maltesas
LC00647;História - História da Itália - Itália Medieval e Moderna
LC00648;História - História da Itália - Norte da Itália
LC00649;História - História da Itália - Outras cidades (não metropolitanas)
LC00650;História - História da Itália - Sul da Itália
LC00651;História - História da América Latina. América espanhola
LC00652;História - História da América Latina. América espanhola - Área do Caribe. Mar do Caribe
LC00653;História - História da América Latina. América espanhola - América Central
LC00654;História - História da América Latina. América espanhola - América Latina (Geral)
LC00655;História - História da América Latina. América espanhola - México
LC00656;História - História da América Latina. América espanhola - América do Sul
LC00657;História - História da América Latina. América espanhola - Índias Ocidentais
LC00658;História - História dos Países Baixos - Países Benelux
LC00659;História - História dos Países Baixos - Países Benelux - Antiguidades. Vida social e costumes. Etnografia
LC00660;História - História dos Países Baixos - Países Benelux - Bélgica
LC00661;História - História dos Países Baixos - Países Benelux - Descrição e viagem
LC00662;História - História dos Países Baixos - Países Benelux - Geral
LC00663;História - História dos Países Baixos - Países Benelux - História
LC00664;História - História dos Países Baixos - Países Benelux - Luxemburgo
LC00665;História - História da Holanda (Holanda)
LC00666;História - História da Holanda (Holanda) - Antiguidades. Vida social e costumes. Etnografia
LC00667;História - História da Holanda (Holanda) - Descrição e viagem
LC00668;História - História da Holanda (Holanda) - Geral
LC00669;História - História da Holanda (Holanda) - História
LC00670;História - História da Holanda (Holanda) - História local e descrição
LC00671;História - História do Norte da Europa. Escandinávia
LC00672;História - História do Norte da Europa. Escandinávia - Antiguidades. Vida social e costumes. Etnografia
LC00673;História - História do Norte da Europa. Escandinávia - Dinamarca
LC00674;História - História do Norte da Europa. Escandinávia - Descrição e viagem
LC00675;História - História do Norte da Europa. Escandinávia - Finlândia
LC00676;História - História do Norte da Europa. Escandinávia - Geral
LC00677;História - História do Norte da Europa. Escandinávia - História
LC00678;História - História do Norte da Europa. Escandinávia - Islândia
LC00679;História - História do Norte da Europa. Escandinávia - Noruega
LC00680;História - História do Norte da Europa. Escandinávia - Suécia
LC00681;História - História da Oceania (Mares do Sul)
LC00682;História - História da Oceania (Mares do Sul) - Austrália
LC00683;História - História da Oceania (Mares do Sul) - História
LC00684;História - História da Oceania (Mares do Sul) - Melanésia (Geral)
LC00685;História - História da Oceania (Mares do Sul) - Micronésia (Geral)
LC00686;História - História da Oceania (Mares do Sul) - Nova Zelândia
LC00687;História - História da Oceania (Mares do Sul) - Polinésia (Geral)
LC00688;História - História da Oceania (Mares do Sul) - Grupos de ilhas menores
LC00689;História - História da Polônia
LC00690;História - História da Polônia - Etnografia
LC00691;História - História da Polônia - História
LC00692;História - História da Polônia - História local e descrição
LC00693;História - História de Portugal
LC00694;História - História de Portugal - Antiguidades. Vida social e costumes. Etnografia
LC00695;História - História de Portugal - Descrição e viagem
LC00696;História - História de Portugal - Geral
LC00697;História - História de Portugal - História
LC00698;História - História de Portugal - História local e descrição
LC00699;História - História dos Romanis
LC00700;História - História da Rússia. União Soviética. Ex-repúblicas soviéticas
LC00701;História - História da Rússia. União Soviética. Ex-repúblicas soviéticas - Etnografia
LC00702;História - História da Rússia. União Soviética. Ex-repúblicas soviéticas - História
LC00703;História - História da Rússia. União Soviética. Ex-repúblicas soviéticas - História local e descrição
LC00704;História - História da Rússia. União Soviética. Ex-repúblicas soviéticas - Regiões não limitadas a uma República
LC00705;História - História da Espanha
LC00706;História - História da Espanha - Antiguidades. Vida social e costumes. Etnografia
LC00707;História - História da Espanha - Descrição e viagem
LC00708;História - História da Espanha - Geral
LC00709;História - História da Espanha - História
LC00710;História - História da Espanha - História local e descrição
LC00711;História - História da Suiça
LC00712;História - História da Suiça - Antiguidades. Vida social e costumes. Etnografia
LC00713;História - História da Suiça - Descrição e viagem
LC00714;História - História da Suiça - Geral
LC00715;História - História da Suiça - História
LC00716;História - História da Suiça - História local e descrição
LC00717;História - História do Mundo Greco-Romano
LC00718;História - História do Mundo Greco-Romano - Antiguidades. Civilização. Cultura. Etnografia
LC00719;História - História do Mundo Greco-Romano - Geral
LC00720;História - História do Mundo Greco-Romano - Geografia
LC00721;História - História do Mundo Greco-Romano - História
LC00722;História - História dos Estados Unidos 
LC00723;História - História dos Estados Unidos - Período da Guerra Civil
LC00724;História - História dos Estados Unidos - História colonial (1607-1775)
LC00725;História - História dos Estados Unidos - História diplomática. Relações exteriores e gerais.
LC00726;História - História dos Estados Unidos - Elementos da população
LC00727;História - História dos Estados Unidos - Geral
LC00728;História - História dos Estados Unidos - História
LC00729;História - História dos Estados Unidos - Final do século XIX
LC00730;História - História dos Estados Unidos - Final do século XX
LC00731;História - História dos Estados Unidos - Revolução para a Guerra Civil
LC00732;História - História dos Estados Unidos - A Revolução
LC00733;História - História dos Estados Unidos - Século XX
LC00734;História - História dos Estados Unidos - Século XXI
LC00735;História - História dos Estados Unidos - História local dos Estados Unidos
LC00736;Linguagem e Literatura
LC00737;Linguagem e Literatura - História dos Estados Unidos 
LC00738;Linguagem e Literatura - Literatura africâner
LC00739;Linguagem e Literatura - Literatura africâner - Coleções
LC00740;Linguagem e Literatura - Literatura africâner - Literatura popular
LC00741;Linguagem e Literatura - Literatura africâner - Autores ou obras individuais
LC00742;Linguagem e Literatura - Literatura africâner - História literária e crítica
LC00743;Linguagem e Literatura - Literatura africâner - Local
LC00744;Linguagem e Literatura - Literatura americana
LC00745;Linguagem e Literatura - Literatura americana - Biografia
LC00746;Linguagem e Literatura - Literatura americana - Coleções de literatura Americana
LC00747;Linguagem e Literatura - Literatura americana - Diários
LC00748;Linguagem e Literatura - Literatura americana - Drama
LC00749;Linguagem e Literatura - Literatura americana - Ensaios
LC00750;Linguagem e Literatura - Literatura americana - Literatura popular
LC00751;Linguagem e Literatura - Literatura americana - Autores individuais
LC00752;Linguagem e Literatura - Literatura americana - Literatura juvenil (Geral)
LC00753;Linguagem e Literatura - Literatura americana - Cartas
LC00754;Linguagem e Literatura - Literatura americana - Oratório
LC00755;Linguagem e Literatura - Literatura americana - Poesia
LC00756;Linguagem e Literatura - Literatura americana - Prosa
LC00757;Linguagem e Literatura - Literatura americana - Regiões especiais
LC00758;Linguagem e Literatura - Literatura americana - Tratamento de disciplinas especiais
LC00759;Linguagem e Literatura - Literatura americana - Inteligência e humor. Sátira
LC00760;Linguagem e Literatura - Literatura americana - Autoras mulheres
LC00761;Linguagem e Literatura - Literatura bizantina e grega moderna
LC00762;Linguagem e Literatura - Literatura bizantina e grega moderna - Autores individuais
LC00763;Linguagem e Literatura - Literatura canadense
LC00764;Linguagem e Literatura - Literatura clássica
LC00765;Linguagem e Literatura - Filologia clássica
LC00766;Linguagem e Literatura - Literatura dinamarquesa
LC00767;Linguagem e Literatura - Literatura dinamarquesa - Coleções
LC00768;Linguagem e Literatura - Literatura dinamarquesa - Literatura popular
LC00769;Linguagem e Literatura - Literatura dinamarquesa - Autores ou obras individuais
LC00770;Linguagem e Literatura - Literatura dinamarquesa - Literatura juvenil (Geral)
LC00771;Linguagem e Literatura - Literatura dinamarquesa - História literária e crítica
LC00772;Linguagem e Literatura - Literatura dinamarquesa - Provincial
LC00773;Linguagem e Literatura - Literatura holandesa
LC00774;Linguagem e Literatura - Literatura holandesa - Coleções
LC00775;Linguagem e Literatura - Literatura holandesa - Literatura popular
LC00776;Linguagem e Literatura - Literatura holandesa - Autores ou obras individuais
LC00777;Linguagem e Literatura - Literatura holandesa - Literatura juvenil (Geral)
LC00778;Linguagem e Literatura - Literatura holandesa - História literária e crítica
LC00779;Linguagem e Literatura - Literatura holandesa - Provincial
LC00780;Linguagem e Literatura - língua inglesa
LC00781;Linguagem e Literatura - língua inglesa - Anglo-Saxão. Inglês Antigo
LC00782;Linguagem e Literatura - língua inglesa - Dialetos. Provincialismos
LC00783;Linguagem e Literatura - língua inglesa - Inglês Moderno Inicial
LC00784;Linguagem e Literatura - língua inglesa - Inglês Arcaico
LC00785;Linguagem e Literatura - língua inglesa - Inglês Moderno
LC00786;Linguagem e Literatura - língua inglesa - Gíria. Jargão
LC00787;Linguagem e Literatura - Literatura inglesa
LC00788;Linguagem e Literatura - Literatura inglesa - Séculos XVII e XVIII (1640-1770)
LC00789;Linguagem e Literatura - Literatura inglesa - 1900-1960
LC00790;Linguagem e Literatura - Literatura inglesa - 1961-2000
LC00791;Linguagem e Literatura - Literatura inglesa - Século XIX
LC00792;Linguagem e Literatura - Literatura inglesa - 2001-
LC00793;Linguagem e Literatura - Literatura inglesa - Período Anglo-Normando. Inglês Antigo. Meio
LC00794;Linguagem e Literatura - Literatura inglesa - Literatura Anglo-Saxônica
LC00795;Linguagem e Literatura - Literatura inglesa - Coleções de literatura Inglesa
LC00796;Linguagem e Literatura - Literatura inglesa - Crítica
LC00797;Linguagem e Literatura - Literatura inglesa - Diários
LC00798;Linguagem e Literatura - Literatura inglesa - Drama
LC00799;Linguagem e Literatura - Literatura inglesa - Literatura Inglesa: provincial
LC00800;Linguagem e Literatura - Literatura inglesa - Renascimento inglês (1500-1640)
LC00801;Linguagem e Literatura - Literatura inglesa - Ensaios
LC00802;Linguagem e Literatura - Literatura inglesa - Literatura popular
LC00803;Linguagem e Literatura - Literatura inglesa - Cartas
LC00804;Linguagem e Literatura - Literatura inglesa - História literária e crítica
LC00805;Linguagem e Literatura - Literatura inglesa - Oratório
LC00806;Linguagem e Literatura - Literatura inglesa - Poesia
LC00807;Linguagem e Literatura - Literatura inglesa - Prosa
LC00808;Linguagem e Literatura - Literatura inglesa - Relações com outras literaturas e países
LC00809;Linguagem e Literatura - Literatura inglesa - Inteligência e humor
LC00810;Linguagem e Literatura - Literatura inglesa - Autoras mulheres
LC00811;Linguagem e Literatura - Literatura inglesa
LC00812;Linguagem e Literatura - Literatura inglesa - Coleções
LC00813;Linguagem e Literatura - Literatura inglesa - Autores ou obras individuais
LC00814;Linguagem e Literatura - Literatura inglesa - História literária e crítica
LC00815;Linguagem e Literatura - Literatura inglesa - Local
LC00816;Linguagem e Literatura - Literatura flamenga desde 1830
LC00817;Linguagem e Literatura - Literatura flamenga desde 1830 - Coleções
LC00818;Linguagem e Literatura - Literatura flamenga desde 1830 - Literatura popular
LC00819;Linguagem e Literatura - Literatura flamenga desde 1830 - Autores ou obras individuais
LC00820;Linguagem e Literatura - Literatura flamenga desde 1830 - Literatura juvenil (Geral)
LC00821;Linguagem e Literatura - Literatura flamenga desde 1830 - História literária e crítica
LC00822;Linguagem e Literatura - Literatura francesa
LC00823;Linguagem e Literatura - Literatura francesa - Coleções
LC00824;Linguagem e Literatura - Literatura francesa - Literatura popular
LC00825;Linguagem e Literatura - Literatura francesa - História e crítica
LC00826;Linguagem e Literatura - Literatura francesa - Literatura juvenil
LC00827;Linguagem e Literatura - Literatura francesa - Literatura moderna
LC00828;Linguagem e Literatura - Literatura francesa - Literatura Francesa Antiga
LC00829;Linguagem e Literatura - Literatura francesa - Provincial
LC00830;Linguagem e Literatura - Literatura alemã
LC00831;Linguagem e Literatura - Literatura alemã - Coleções
LC00832;Linguagem e Literatura - Literatura alemã - Literatura popular
LC00833;Linguagem e Literatura - Literatura alemã - História da literatura Alemã
LC00834;Linguagem e Literatura - Literatura alemã - Autores ou obras individuais
LC00835;Linguagem e Literatura - Literatura alemã - História literária e crítica
LC00836;Linguagem e Literatura - Literatura alemã - Literatura do Baixo-Alemão
LC00837;Linguagem e Literatura - Literatura alemã - Provincial
LC00838;Linguagem e Literatura - Línguas germânicas. Línguas escandinavas
LC00839;Linguagem e Literatura - Línguas germânicas. Línguas escandinavas - Geral
LC00840;Linguagem e Literatura - Línguas germânicas. Línguas escandinavas - Germânicas Setentrionais. Escandinavo
LC00841;Linguagem e Literatura - Línguas germânicas. Línguas escandinavas - Antigos dialetos Germânicos
LC00842;Linguagem e Literatura - Literatura grega
LC00843;Linguagem e Literatura - Literatura grega - Coleções
LC00844;Linguagem e Literatura - Literatura grega - Crítica
LC00845;Linguagem e Literatura - Literatura grega - Autores individuais
LC00846;Linguagem e Literatura - Literatura grega - História literária
LC00847;Linguagem e Literatura - Literatura grega - Traduções
LC00848;Linguagem e Literatura - Filologia e língua gregas
LC00849;Linguagem e Literatura - Linguagens hiperbóreas
LC00850;Linguagem e Literatura - Linguagens hiperbóreas
LC00851;Linguagem e Literatura - Linguagens hiperbóreas
LC00852;Linguagem e Literatura - Linguagens hiperbóreas
LC00853;Linguagem e Literatura - Linguagens hiperbóreas
LC00854;Linguagem e Literatura - Linguagens hiperbóreas
LC00855;Linguagem e Literatura - Linguagens hiperbóreas
LC00856;Linguagem e Literatura - Linguagens hiperbóreas
LC00857;Linguagem e Literatura - Linguagens hiperbóreas
LC00858;Linguagem e Literatura - Filologia e literatura indo-iraniana
LC00859;Linguagem e Literatura - Filologia e literatura indo-iraniana - Armênio
LC00860;Linguagem e Literatura - Filologia e literatura indo-iraniana - Línguas caucasianas
LC00861;Linguagem e Literatura - Filologia e literatura indo-iraniana - Dardic (Pisacha)
LC00862;Linguagem e Literatura - Filologia e literatura indo-iraniana - Geral
LC00863;Linguagem e Literatura - Filologia e literatura indo-iraniana - Línguas Indo-arianos
LC00864;Linguagem e Literatura - Filologia e literatura indo-iraniana - Literatura Indo-arianos
LC00865;Linguagem e Literatura - Filologia e literatura indo-iraniana - Filologia e literatura Iraniana
LC00866;Linguagem e Literatura - Literatura italiana
LC00867;Linguagem e Literatura - Literatura italiana - Coleções
LC00868;Linguagem e Literatura - Literatura italiana - História e crítica
LC00869;Linguagem e Literatura - Literatura italiana - Autores individuais e obras até 1400
LC00870;Linguagem e Literatura - Literatura italiana - Autores individuais
LC00871;Linguagem e Literatura - Literatura italiana - Autores individuais
LC00872;Linguagem e Literatura - Literatura italiana - Autores individuais
LC00873;Linguagem e Literatura - Literatura italiana - Autores individuais
LC00874;Linguagem e Literatura - Literatura italiana - Autores individuais
LC00875;Linguagem e Literatura - Línguas e literatura da Ásia Oriental
LC00876;Linguagem e Literatura - Línguas e literatura da Ásia Oriental
LC00877;Linguagem e Literatura - Línguas e literatura da Ásia Oriental
LC00878;Linguagem e Literatura - Línguas e literatura da Ásia Oriental
LC00879;Linguagem e Literatura - Línguas e literatura da Ásia Oriental
LC00880;Linguagem e Literatura - Línguas e literatura da Ásia Oriental
LC00881;Linguagem e Literatura - Línguas e literatura da Ásia Oriental
LC00882;Linguagem e Literatura - Línguas e literatura da Ásia Oriental
LC00883;Linguagem e Literatura - Línguas e literatura da Ásia Oriental
LC00884;Linguagem e Literatura - Línguas e literatura da Ásia Oriental
LC00885;Linguagem e Literatura - Línguas e literatura da Ásia Oriental
LC00886;Linguagem e Literatura - Línguas e literatura da Ásia Oriental
LC00887;Linguagem e Literatura - Línguas e literatura da Ásia Oriental
LC00888;Linguagem e Literatura - Línguas e literatura da Ásia Oriental
LC00889;Linguagem e Literatura - Línguas e literatura da Ásia Oriental
LC00890;Linguagem e Literatura - Línguas e literatura da Ásia Oriental
LC00891;Linguagem e Literatura - Línguas e literatura da Ásia Oriental
LC00892;Linguagem e Literatura - Línguas e literatura da Ásia Oriental
LC00893;Linguagem e Literatura - Filologia latina e linguagem
LC00894;Linguagem e Literatura - Literatura (Geral)
LC00895;Linguagem e Literatura - Literatura (Geral) - Autoria
LC00896;Linguagem e Literatura - Literatura (Geral) - Coleções de literatura geral
LC00897;Linguagem e Literatura - Literatura (Geral) - Crítica
LC00898;Linguagem e Literatura - Literatura (Geral) - Diários
LC00899;Linguagem e Literatura - Literatura (Geral) - Drama
LC00900;Linguagem e Literatura - Literatura (Geral) - Ensaios (história literária)
LC00901;Linguagem e Literatura - Literatura (Geral) - Jornalismo. A imprensa periódica
LC00902;Linguagem e Literatura - Literatura (Geral) - Cartas (história literária)
LC00903;Linguagem e Literatura - Literatura (Geral) - História literária
LC00904;Linguagem e Literatura - Literatura (Geral) - Oratório. Elocução
LC00905;Linguagem e Literatura - Literatura (Geral) - Periódicos
LC00906;Linguagem e Literatura - Literatura (Geral) - Poesia
LC00907;Linguagem e Literatura - Literatura (Geral) - Prosa. Prosa ficcional
LC00908;Linguagem e Literatura - Literatura (Geral) - Sociedades
LC00909;Linguagem e Literatura - Literatura (Geral) - Estudo e ensino
LC00910;Linguagem e Literatura - Literatura (Geral) - O diálogo
LC00911;Linguagem e Literatura - Literatura (Geral) - O monologo
LC00912;Linguagem e Literatura - Literatura (Geral) - As artes cênicas. Mundo do espetáculo
LC00913;Linguagem e Literatura - Literatura (Geral) - Teoria. Filosofia. Estética
LC00914;Linguagem e Literatura - Língua grega medieval e moderna
LC00915;Linguagem e Literatura - Literatura latina medieval e moderna
LC00916;Linguagem e Literatura - Literatura latina medieval e moderna - Autores individuais
LC00917;Linguagem e Literatura - Literatura islandesa moderna
LC00918;Linguagem e Literatura - Literatura islandesa moderna - Coleções
LC00919;Linguagem e Literatura - Literatura islandesa moderna - Literatura popular
LC00920;Linguagem e Literatura - Literatura islandesa moderna - Autores ou obras individuais
LC00921;Linguagem e Literatura - Literatura islandesa moderna - Literatura juvenil (Geral)
LC00922;Linguagem e Literatura - Literatura islandesa moderna - História literária e crítica
LC00923;Linguagem e Literatura - Literatura islandesa moderna - Provincial
LC00924;Linguagem e Literatura - Linguagens modernas. Línguas celtas
LC00925;Linguagem e Literatura - Linguagens modernas. Línguas celtas - Línguas e literatura celtas
LC00926;Linguagem e Literatura - Linguagens modernas. Línguas celtas - Linguagens modernas
LC00927;Linguagem e Literatura - Literatura norueguesa
LC00928;Linguagem e Literatura - Literatura norueguesa - Coleções
LC00929;Linguagem e Literatura - Literatura norueguesa - Autores ou obras individuais
LC00930;Linguagem e Literatura - Literatura norueguesa - Literatura juvenil (Geral)
LC00931;Linguagem e Literatura - Literatura norueguesa - Landsmaal ou New Norwegian
LC00932;Linguagem e Literatura - Literatura norueguesa - História literária e crítica
LC00933;Linguagem e Literatura - Literatura norueguesa - História literária e crítica
LC00934;Linguagem e Literatura - Literatura norueguesa - Provincial
LC00935;Linguagem e Literatura - Literatura nórdica antiga: islandês antigo e norueguês antigo
LC00936;Linguagem e Literatura - Literatura nórdica antiga: islandês antigo e norueguês antigo - Coleções
LC00937;Linguagem e Literatura - Literatura nórdica antiga: islandês antigo e norueguês antigo - Autores individuais ou trabalhos anteriores a 1540
LC00938;Linguagem e Literatura - Literatura nórdica antiga: islandês antigo e norueguês antigo - Sagas individuais e obras históricas
LC00939;Linguagem e Literatura - Literatura nórdica antiga: islandês antigo e norueguês antigo - História literária e crítica
LC00940;Linguagem e Literatura - Literatura nórdica antiga: islandês antigo e norueguês antigo - Obras religiosas
LC00941;Linguagem e Literatura - Literatura nórdica antiga: islandês antigo e norueguês antigo - Literatura científica e erudita
LC00942;Linguagem e Literatura - Línguas e Literaturas orientais
LC00943;Linguagem e Literatura - Línguas e Literaturas orientais - Línguas afro-asiáticas
LC00944;Linguagem e Literatura - Línguas e Literaturas orientais - Árabe
LC00945;Linguagem e Literatura - Línguas e Literaturas orientais - Aramaico
LC00946;Linguagem e Literatura - Línguas e Literaturas orientais - Assiriologia. Império Acádio
LC00947;Linguagem e Literatura - Línguas e Literaturas orientais - Coptos
LC00948;Linguagem e Literatura - Línguas e Literaturas orientais - Línguas cushíticas
LC00949;Linguagem e Literatura - Línguas e Literaturas orientais - egiptologia
LC00950;Linguagem e Literatura - Línguas e Literaturas orientais - Línguas etíopes
LC00951;Linguagem e Literatura - Línguas e Literaturas orientais - Geral
LC00952;Linguagem e Literatura - Línguas e Literaturas orientais - Hebraico
LC00953;Linguagem e Literatura - Línguas e Literaturas orientais - Línguas Líbico-Berberes. Línguas berberes
LC00954;Linguagem e Literatura - Línguas e Literaturas orientais - Filologia e literatura semítica
LC00955;Linguagem e Literatura - Línguas e Literaturas orientais - Línguas semíticas do Sul
LC00956;Linguagem e Literatura - Línguas e Literaturas orientais - Grupos especiais
LC00957;Linguagem e Literatura - Línguas e Literaturas orientais - Sumério
LC00958;Linguagem e Literatura - Línguas e Literaturas orientais - Siríaco
LC00959;Linguagem e Literatura - Línguas e Literaturas orientais - Línguas semíticas ocidentais e do Norte
LC00960;Linguagem e Literatura - Filologia. Linguística
LC00961;Linguagem e Literatura - Filologia. Linguística - Comunicação. Mídia de massa
LC00962;Linguagem e Literatura - Filologia. Linguística - Linguística computacional. Processamento de linguagem natural
LC00963;Linguagem e Literatura - Filologia. Linguística - Línguas antigas ou medievais extintas
LC00964;Linguagem e Literatura - Filologia. Linguística - Geral
LC00965;Linguagem e Literatura - Filologia. Linguística - Filologia Indo-Européia (Indo-Germânica)
LC00966;Linguagem e Literatura - Filologia. Linguística - Língua. Teoria linguística. Gramática comparativa
LC00967;Linguagem e Literatura - Filologia. Linguística - Comunicação não verbal
LC00968;Linguagem e Literatura - Filologia. Linguística - Semiótica. Sinais e símbolos
LC00969;Linguagem e Literatura - Literatura portuguesa
LC00970;Linguagem e Literatura - Literatura portuguesa - Coleções
